objsortnum_s	objmusno_s
000015 001202 film	15-1202.film
000011 015788	11-15788
000009 011802 j	9-11802j
000004 006743 b	4-6743b
000006 001794	6-1794
000015 023246	15-23246
000008 006493	8-6493
000012 008312 +A-D	12-8312+A-D
000001 237204	1-237204
000001 186151	1-186151
000001 118183 000002	1-118183.2
000018 000127	18-127
000001 150283	1-150283
000001 051223	1-51223
000001 239816 _dupe	1-239816_dupe
000001 033459 000002	1-33459.2
000010 000038	10-38
000025 007634	25-7634
000003 022175	3-22175
000002 053202 000002	2-53202.2
000001 130088	1-130088
000002 040805	2-40805
000024 000261	24-261
000015 015532	15-15532
000002 035209	2-35209
000001 252744	1-252744
000001 203846 000002	1-203846.2
000001 191179	1-191179
000015 000694	15-694
000009 019391	9-19391
000012 007050 +A-C.2	12-7050+A-C.2
000001 227083	1-227083
000001 137181	1-137181
000001 167857 000001	1-167857.1
000011 005831 000004	11-5831.4
000002 035003	2-35003
000003 014811	3-14811
000001 220209	1-220209
000015 020223	15-20223
L 016388	L-16388
000002 003130	2-3130
000002 013190	2-13190
000001 180031	1-180031
000001 113182	1-113182
000013 003846	13-3846
000001 078424	1-78424
000013 005573	13-5573
000001 196594	1-196594
000001 018288	1-18288
L 013323	L-13323
000001 198315	1-198315
000001 079451	1-79451
000011 029676	11-29676
000009 008615	9-8615
000015 017807	15-17807
000006 011111	6-11111
000015 028151	15-28151
000012 010172 B	12-10172B
000015 000077	15-77
000002 023443	2-23443
000008 001780	8-1780
000003 028640	3-28640
000002 015355	2-15355
000001 116852	1-116852
000015 003041 film	15-3041.film
000015 024309 a,b	15-24309a,b
000001 208259	1-208259
000025 011805	25-11805
000015 020251	15-20251
000002 052661	2-52661
000001 073244	1-73244
000001 206172	1-206172
000001 120746 000002	1-120746.2
L 018424	L-18424
000012 002632 (0)	12-2632(0)
000002 051972	2-51972
000003 028371	3-28371
000013 003665	13-3665
000002 042344	2-42344
000001 238738 _dupe	1-238738_dupe
000006 018996 000002	6-18996.2
000011 034623	11-34623
000001 007761	1-7761
000005 003619	5-3619
000001 249576	1-249576
000014 001882 000002	14-1882.2
000006 021547	6-21547
000011 011447 000006	11-11447.6
000009 011158	9-11158
000006 003906	6-3906
000001 188615	1-188615
